Country Name,Indicator Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Latin America & Caribbean (excluding high income),Urban population (% of total population),78.698729246188,78.9861019691122,79.2708600635187,79.5504320500921,79.8252752102634,80.0961882807648,80.3648674832171,80.6312118952612,80.894048544763,81.1519838581035
Lao PDR,Urban population (% of total population),31.872,32.487,33.108,33.736,34.368,35.004,35.645,36.29,36.939,37.592
Lebanon,Urban population (% of total population),87.79,87.947,88.106,88.266,88.429,88.593,88.758,88.925,89.093,89.262
Liberia,Urban population (% of total population),48.985,49.397,49.82,50.254,50.697,51.151,51.615,52.089,52.573,53.065
Libya,Urban population (% of total population),78.756,79.009,79.27,79.54,79.817,80.102,80.393,80.691,80.994,81.302
St. Lucia,Urban population (% of total population),18.461,18.482,18.515,18.558,18.612,18.678,18.754,18.841,18.94,19.05
Latin America & Caribbean,Urban population (% of total population),79.3620298704745,79.6224551556973,79.8805912794445,80.1333648585001,80.3783716386719,80.6118837550519,80.8467032364303,81.0877962869629,81.3272277367298,81.5649149138088
Least developed countries: UN classification,Urban population (% of total population),30.9924289912579,31.5100998139128,32.0367971381432,32.5762833143075,33.1242640987107,33.6667279661463,34.2024920969838,34.7409228785313,35.2890728691293,35.8497135775292
Low income,Urban population (% of total population),30.8681119548453,31.1266411299552,31.4889228721831,31.8946434444931,32.3234211203909,32.7569869104427,33.2014019576595,33.6550085446563,34.1217960911553,34.6092143763472
Liechtenstein,Urban population (% of total population),14.334,14.313,14.303,14.303,14.315,14.338,14.371,14.416,14.471,14.538
Sri Lanka,Urban population (% of total population),18.198,18.218,18.256,18.311,18.384,18.476,18.585,18.713,18.86,19.026
Lower middle income,Urban population (% of total population),36.1424626474899,36.6102745312354,37.0725141565864,37.5295181392786,37.9908696780081,38.461894246904,38.9406654635585,39.4285681450683,39.9285890991423,40.4418199870875
Low & middle income,Urban population (% of total population),46.592267033194,47.1630136742115,47.7369918134785,48.3053994463197,48.8716647296853,49.4321067332779,49.9819801481681,50.517015642187,51.0438706627221,51.561699286564
Lesotho,Urban population (% of total population),26.101,26.502,26.908,27.317,27.73,28.153,28.585,29.028,29.48,29.943
Late-demographic dividend,Urban population (% of total population),57.969171444338,58.8679956988786,59.7592391927949,60.6435202079322,61.5185818454451,62.3760863822195,63.2167102592501,64.0323101269434,64.8181783125505,65.6035531412067
Lithuania,Urban population (% of total population),66.986,67.108,67.23,67.366,67.516,67.679,67.855,68.046,68.249,68.465
Luxembourg,Urban population (% of total population),89.574,89.884,90.179,90.46,90.727,90.981,91.223,91.453,91.672,91.881
Latvia,Urban population (% of total population),67.925,67.952,67.98,68.021,68.075,68.142,68.222,68.315,68.421,68.54
"Macao SAR, China",Urban population (% of total population),100,100,100,100,100,100,100,100,100,100
St. Martin (French part),Urban population (% of total population),,,,,,,,,,
Morocco,Urban population (% of total population),59.7,60.256,60.809,61.36,61.908,62.453,62.994,63.532,64.065,64.596
Monaco,Urban population (% of total population),100,100,100,100,100,100,100,100,100,100
Moldova,Urban population (% of total population),42.527,42.496,42.49,42.511,42.557,42.629,42.726,42.849,42.998,43.173
Madagascar,Urban population (% of total population),33.878,34.534,35.193,35.856,36.522,37.191,37.861,38.534,39.207,39.882
Maldives,Urban population (% of total population),37.685,38.106,38.529,38.954,39.38,39.808,40.238,40.669,41.102,41.536
Middle East & North Africa,Urban population (% of total population),62.8385958503616,63.2244808311069,63.6691574442024,64.0371472579972,64.3220310512805,64.55446322,64.8008224620336,65.1071327675888,65.3260608770273,65.7094376535395
Mexico,Urban population (% of total population),78.699,78.993,79.285,79.577,79.867,80.156,80.444,80.731,81.016,81.3
Marshall Islands,Urban population (% of total population),74.946,75.384,75.811,76.228,76.634,77.031,77.417,77.794,78.162,78.52
Middle income,Urban population (% of total population),48.2562138548729,48.8808800563994,49.5004716523456,50.1128173463226,50.7230712784509,51.3295876222864,51.9264017475263,52.5074826214954,53.0789345456206,53.639041624375
North Macedonia,Urban population (% of total population),57.189,57.284,57.408,57.563,57.748,57.963,58.208,58.482,58.786,59.118
Mali,Urban population (% of total population),38.398,39.196,39.991,40.783,41.572,42.356,43.136,43.909,44.677,45.437
Malta,Urban population (% of total population),94.279,94.347,94.414,94.48,94.546,94.612,94.678,94.744,94.81,94.875
Myanmar,Urban population (% of total population),29.457,29.65,29.858,30.082,30.322,30.579,30.852,31.141,31.448,31.771
Middle East & North Africa (excluding high income),Urban population (% of total population),59.4299357247051,59.7781480716384,60.1498605319117,60.4624016050893,60.7532932410137,61.042829125234,61.3259449166162,61.6169774878801,61.9305642241957,62.2538891552959
Montenegro,Urban population (% of total population),65.137,65.471,65.806,66.141,66.477,66.813,67.15,67.488,67.826,68.164
Mongolia,Urban population (% of total population),68.097,68.163,68.23,68.297,68.363,68.445,68.543,68.657,68.785,68.93
Northern Mariana Islands,Urban population (% of total population),91.19,91.273,91.357,91.443,91.53,91.618,91.708,91.798,91.89,91.983
Mozambique,Urban population (% of total population),33.36,33.878,34.4,34.926,35.455,35.988,36.528,37.074,37.628,38.187
Mauritania,Urban population (% of total population),49.306,50.203,51.089,51.962,52.824,53.672,54.507,55.327,56.133,56.923
Mauritius,Urban population (% of total population),41.222,41.111,41,40.91,40.841,40.793,40.766,40.76,40.775,40.81
Malawi,Urban population (% of total population),15.966,16.132,16.313,16.506,16.714,16.937,17.174,17.427,17.695,17.98
Malaysia,Urban population (% of total population),72.93,73.577,74.213,74.84,75.447,76.036,76.607,77.16,77.696,78.214
North America,Urban population (% of total population),81.2902987944492,81.4597899572714,81.6330006810751,81.8087121889987,81.9896254023071,82.1730443693373,82.3616569765401,82.5536395273228,82.7500217936735,82.9476182954817
Namibia,Urban population (% of total population),44.756,45.826,46.9,47.961,49.005,50.032,51.042,52.033,53.005,53.956
New Caledonia,Urban population (% of total population),68.479,68.931,69.379,69.821,70.256,70.683,71.104,71.518,71.925,72.325
Niger,Urban population (% of total population),16.208,16.219,16.247,16.29,16.35,16.425,16.517,16.626,16.751,16.894
Nigeria,Urban population (% of total population),46.118,46.982,47.838,48.683,49.519,50.344,51.157,51.958,52.746,53.521
Nicaragua,Urban population (% of total population),57.505,57.7,57.895,58.09,58.299,58.522,58.76,59.012,59.277,59.556
Netherlands,Urban population (% of total population),89.187,89.69,90.173,90.635,91.077,91.49,91.876,92.236,92.572,92.886
Norway,Urban population (% of total population),80.286,80.692,81.091,81.485,81.871,82.248,82.616,82.974,83.323,83.664
Nepal,Urban population (% of total population),17.815,18.182,18.557,18.942,19.336,19.74,20.153,20.576,21.008,21.451
Nauru,Urban population (% of total population),100,100,100,100,100,100,100,100,100,100
New Zealand,Urban population (% of total population),86.221,86.281,86.341,86.4,86.466,86.538,86.615,86.699,86.789,86.884
OECD members,Urban population (% of total population),79.6005559871544,79.7942250598886,79.9919494376222,80.1923628914604,80.3961340874754,80.6019181329692,80.8141916819244,81.0278449440668,81.2518798971512,81.4655404229474
Oman,Urban population (% of total population),78.882,80.145,81.35,82.5,83.56,84.539,85.443,86.276,87.044,87.75
Other small states,Urban population (% of total population),57.0325374039363,57.318503825096,57.5999492303947,57.8807802538829,58.2328276464147,58.426508537666,58.5800145776991,58.7248665852546,58.9480024878216,59.2209296452497
Pakistan,Urban population (% of total population),35.613,35.819,36.026,36.234,36.442,36.666,36.907,37.165,37.44,37.731
Panama,Urban population (% of total population),66.052,66.371,66.696,67.027,67.365,67.709,68.059,68.414,68.775,69.141
Peru,Urban population (% of total population),76.989,77.173,77.357,77.539,77.72,77.907,78.099,78.297,78.5,78.708
Philippines,Urban population (% of total population),45.903,46.093,46.284,46.475,46.682,46.907,47.149,47.408,47.684,47.977
Palau,Urban population (% of total population),76.862,77.517,78.159,78.775,79.365,79.93,80.47,80.988,81.483,81.956
Papua New Guinea,Urban population (% of total population),12.978,12.988,13.012,13.05,13.102,13.169,13.25,13.345,13.456,13.582
Poland,Urban population (% of total population),60.529,60.403,60.278,60.178,60.105,60.058,60.037,60.043,60.075,60.134
Pre-demographic dividend,Urban population (% of total population),38.6701372020105,39.2226003545783,39.7771089025231,40.3354760263504,40.8948351996284,41.4439041161344,41.9842362316093,42.5266498156658,43.0789350226666,43.6418701367517
Puerto Rico,Urban population (% of total population),93.686,93.651,93.624,93.602,93.587,93.578,93.576,93.581,93.592,93.61
"Korea, Dem. People's Rep.",Urban population (% of total population),60.918,61.098,61.277,61.471,61.678,61.899,62.134,62.381,62.642,62.916
Portugal,Urban population (% of total population),62.352,62.936,63.514,64.086,64.652,65.211,65.764,66.31,66.849,67.381
Paraguay,Urban population (% of total population),60.197,60.474,60.75,61.026,61.3,61.585,61.879,62.183,62.496,62.818
West Bank and Gaza,Urban population (% of total population),74.863,75.113,75.368,75.628,75.894,76.164,76.44,76.719,77.003,77.291
Pacific island small states,Urban population (% of total population),37.5825207998049,37.7632566682875,37.9418362727715,38.1171567107677,38.279362098949,38.4317318565749,38.6080266824363,38.8185116377361,39.0380810941031,39.2714686784769
